"","hylak_id","hybas_id","elevation","centr_lat","centr_lon"
"15905",1418778,1091596930,1604,-25.7685856231,29.6126219474
"15906",1418780,1121597980,1598,-25.7719789111,29.6949097802
"15907",1418781,1121597400,1605,-25.7720286049,29.6214031768
"15908",1418782,1121597980,1661,-25.7726201955,29.7654256838
"15909",1418783,1121597980,1591,-25.7784163852,29.6853366694
"15910",1418785,1121597980,1602,-25.7848557611,29.6374921361
"15911",1418786,1121597980,1583,-25.786199568,29.6743459832
"15912",1418787,1121597980,1574,-25.7904230872,29.6592789913
"15913",1418788,1121597980,1636,-25.79535916,29.7178971091
"15914",1418790,1121596930,1501,-25.7983410403,29.4476698993
"15915",1418795,1121597980,1562,-25.8074183381,29.6364447779
"15916",1418799,1121598200,1656,-25.8145173911,29.7958579034
"15917",1418801,1122275430,1754,-25.8286438649,29.8667367836
"15918",1418805,1121597590,1524,-25.8399266106,29.485420002
"15919",1418806,1121598200,1631,-25.8389334278,29.7704637489
"15920",1418807,1121597590,1600,-25.8385752256,29.5238242964
"15921",1418808,1121598200,1549,-25.8399076464,29.6238384338
"15922",1418814,1121598900,1717,-25.8445031536,30.0540632192
"15923",1418816,1121598200,1600,-25.8463464489,29.7122989788
"15924",1418817,1121598200,1624,-25.850057239,29.7580441504
"15925",1418821,1121598200,1574,-25.8574772744,29.6641998242
"15926",1418823,1121598200,1618,-25.8714339392,29.7242059156
"15927",1418824,1121597400,1624,-25.8715704219,29.5438770992
"15928",1418830,1122275430,1684,-25.8729096221,29.9362835883
"15929",1418831,1121598200,1648,-25.8778058809,29.7423884757
"15930",1418834,1121598230,1574,-25.8866096766,29.6058257274
"15931",1418835,1121598200,1642,-25.8876961183,29.7140489837
"15932",1418836,1121597940,1531,-25.8903939252,29.3564061977
"15933",1418838,1121598230,1573,-25.892123381,29.604985202
"15934",1418839,1121598230,1576,-25.8956613462,29.6186512078
"15935",1418840,1122275050,1544,-25.8971992161,26.7821410225
"15936",1418842,1121597940,1536,-25.8989712056,29.4041133808
"15937",1418844,1121597590,1566,-25.9030012017,29.5156627252
"15938",1418845,1121598230,1587,-25.9019309799,29.6494927556
"15939",1418846,1122275430,1689,-25.9033474303,29.8891614808
"15940",1418847,1081596460,1599,-25.9066746242,29.6597667017
"15941",1418848,1122275430,1698,-25.9071974795,29.855384762
"15942",1418850,1091597170,1571,-25.9107642791,28.9760760129
"15943",1418851,1121597790,1534,-25.9110605109,27.1304077472
"15944",1418852,1122275430,1701,-25.9138422674,29.8433456978
"15945",1418854,1091599510,1668,-25.9139496844,29.9608633487
"15946",1418855,1061586860,1585,-25.9143921482,29.4705433597
"15947",1418857,1122275430,1716,-25.9184973751,29.8708072109
"15948",1418860,1122275420,1566,-25.9197599981,29.3981138268
"15949",1418861,1122275420,1546,-25.9214904205,29.4043977164
"15950",1418862,1122275430,1677,-25.921090401,29.9291027035
"15951",1418863,1121599090,1572,-25.9204666352,29.6455823378
"15952",1418866,1122275410,1538,-25.9270203591,29.3447010552
"15953",1418867,1061586860,1582,-25.9260107734,29.1580501867
"15954",1418868,1122275430,1695,-25.9308302662,29.889242617
"15955",1418869,1122275430,1694,-25.9342957762,29.8753532288
"15956",1418870,1122275430,1694,-25.9330399421,29.9195091037
"15957",1418871,1122275410,1591,-25.9381776406,29.3352792549
"15958",1418873,1122275430,1702,-25.941841474,29.917318164
"15959",1418875,1121598800,1501,-25.9457667809,28.1873510058
"15960",1418877,1122275410,1609,-25.9502556474,29.3291739456
"15961",1418878,1122275420,1589,-25.9523124179,29.3778585337
"15962",1418879,1121599090,1660,-25.9562676342,29.8082167499
"15963",1418880,1122275270,1506,-25.954095287,28.7491732767
"15964",1418882,1121599090,1654,-25.9537662762,29.814661374
"15965",1418883,1121599190,1572,-25.9612486057,29.5845607002
"15966",1418884,1081596570,1590,-25.9622463226,29.3491380734
"15967",1418885,1071595420,1557,-25.9646104257,28.9599093047
"15968",1418886,1081596570,1604,-25.9650174479,29.3918682814
"15969",1418890,1122275420,1601,-25.9706069528,29.4122986148
"15970",1418891,1121599190,1625,-25.9715904712,29.5476685335
"15971",1418892,1121599200,1567,-25.9737782026,29.6135031264
"15972",1418894,1122275420,1591,-25.9689333922,29.458344898
"15973",1418895,1122275420,1615,-25.9720040905,29.504103532
"15974",1418896,1122275420,1565,-25.9750959169,29.4667494114
"15975",1418897,1121599090,1667,-25.9810774489,29.7835607717
"15976",1418898,1081596570,1583,-25.9793141565,29.2069963998
"15977",1418900,1121599780,1552,-25.9852876825,29.2309349071
"15978",1418901,1121599780,1591,-25.9861208323,29.211056427
"15979",1418902,1121599720,1517,-25.9881065718,29.3329304206
"15980",1418904,1121599090,1622,-25.9909578411,29.6939780938
"15981",1418905,1121599190,1589,-25.9924878599,29.5642320748
"15982",1418906,1121598890,1656,-25.9949917966,28.4625651284
"15983",1418907,1122275680,1535,-25.9973293984,27.0824969594
"15984",1418908,1121599780,1539,-25.9951610018,29.2347657356
"15985",1418910,1121599200,1616,-26.0034238378,29.6443590778
"15986",1418911,1122275800,1647,-26.0008916911,29.9411995899
"15987",1418913,1121599720,1537,-26.0048626016,29.3628664159
"15988",1418914,1091599790,1635,-26.0035949068,29.9692682898
"15989",1418916,1121599090,1634,-26.007600058,29.6901185177
"15990",1418918,1121599900,1597,-26.0117915089,29.7470610152
"15991",1418919,1121600380,1568,-26.0112325284,27.3030443044
"15992",1418920,1122275520,1520,-26.0163121206,28.8353794449
"15993",1418921,1121599190,1621,-26.0170970527,29.5319846052
"15994",1418922,1121599890,1626,-26.0211936715,29.7107531756
"15995",1418925,1122275800,1630,-26.0205009018,29.9371750495
"15996",1418926,1121599890,1642,-26.0221240874,29.6999538936
"15997",1418929,1121598880,1588,-26.0262407427,28.3405197613
"15998",1418930,1020011530,1665,-26.0273252952,29.8585343865
"15999",1418931,1122275520,1550,-26.028664373,28.7629550624
"16000",1418932,1121599190,1621,-26.0307773757,29.5482262878
"16001",1418933,1121599200,1650,-26.0303246515,29.6524975172
"16002",1418935,1121599780,1579,-26.0342644209,29.3324475032
"16003",1418936,1091599090,1639,-26.0350721076,29.7552940466
"16004",1418937,1121599900,1637,-26.0352593496,29.7750867792
"16005",1418938,1121599770,1571,-26.0354998541,28.5417430031
"16006",1418939,1121599190,1625,-26.0393648686,29.5541844715
"16007",1418941,1122275920,1596,-26.0426556825,28.4773842255
"16008",1418946,1121599200,1590,-26.0462795181,29.6158574751
"16009",1418947,1121599200,1632,-26.0484498151,29.6503682541
"16010",1418948,1121599900,1636,-26.0480298623,29.7862023524
"16011",1418949,1121600250,1530,-26.0451651114,29.1782181468
"16012",1418950,1121599880,1561,-26.0482536973,28.7562009911
"16013",1418951,1121600250,1517,-26.0501124737,29.2085749548
"16014",1418952,1121599190,1640,-26.0535358423,29.534026974
"16015",1418953,1091599790,1625,-26.0516226824,29.9694846575
"16016",1418954,1121599790,1632,-26.0544545476,29.9786157614
"16017",1418957,1122275800,1619,-26.0571492095,29.9367172807
"16018",1418958,1121599200,1647,-26.0612621895,29.6011401673
"16019",1418959,1121599200,1683,-26.0621777463,29.5945837603
"16020",1418961,1121599190,1635,-26.0617869401,29.5458485375
"16021",1418964,1121600250,1525,-26.0657761401,29.1892872253
"16022",1418968,1121600760,1539,-26.0697325403,28.8172583932
"16023",1418969,1121599790,1635,-26.0671823888,30.0051922613
"16024",1418972,1121600120,1515,-26.0743722232,28.1380785098
"16025",1418973,1081596460,1670,-26.0747918397,29.6573243842
"16026",1418974,1121600250,1528,-26.0764737856,29.1785380933
"16027",1418976,1122275870,1630,-26.0761334961,30.0346609392
"16028",1418978,1081597930,1565,-26.0789724606,28.7979142549
"16029",1418979,1121601050,1580,-26.0776328154,29.4354509984
"16030",1418983,1121600760,1513,-26.0838634561,28.8325770098
"16031",1418985,1121600780,1568,-26.083435223,29.2944984626
"16032",1418987,1121599200,1655,-26.0828465503,29.6267602607
"16033",1418988,1091599790,1667,-26.0836949214,29.9284801126
"16034",1418992,1122276040,1544,-26.0903523304,29.1082406546
"16035",1418994,1122275940,1644,-26.0945198765,29.6890311328
"16036",1418996,1121601470,1540,-26.0922800657,26.9443901044
"16037",1418997,1122275860,1610,-26.0961935711,29.8864042019
"16038",1418999,1121601050,1609,-26.0929360933,29.4269966032
"16039",1419000,1061586860,1688,-26.0937464842,29.522862506
"16040",1419001,1122275870,1618,-26.1022798797,30.0861475731
"16041",1419002,1081597930,1584,-26.0990582526,28.7862229421
"16042",1419005,1122275940,1629,-26.1062477312,29.7237207285
"16043",1419006,1121600780,1524,-26.1104986673,29.3106120657
"16044",1419010,1091599790,1634,-26.117079421,29.8860287507
"16045",1419013,1122275860,1618,-26.126227768,29.8612286573
"16046",1419015,1122275940,1640,-26.1239625008,29.6583898379
"16047",1419016,1122275940,1653,-26.1245635999,29.6986339918
"16048",1419017,1121602120,1650,-26.1239653865,28.2698572527
"16049",1419018,1121602120,1619,-26.126578304,28.3355580164
"16050",1419023,1122275760,1748,-26.126716342,27.7076217501
"16051",1419024,1122276750,1731,-26.1302653198,27.7626050405
"16052",1419029,1122275760,1725,-26.1321290472,27.6933587079
"16053",1419030,1122276750,1707,-26.1332675368,27.7655709575
"16054",1419031,1122275760,1721,-26.1312409871,27.7005864576
"16055",1419032,1122275940,1680,-26.1346506193,29.6815884433
"16056",1419033,1121602120,1641,-26.135075814,28.3232653263
"16057",1419039,1122276120,1631,-26.1425393931,29.8861333564
"16058",1419040,1121601130,1533,-26.1459901066,29.3429572424
"16059",1419043,1121602640,1517,-26.1436374783,26.4487473226
"16060",1419044,1121602640,1516,-26.1433624104,26.4635255563
"16061",1419045,1121601470,1511,-26.1454806395,26.8515856967
"16062",1419046,1121602460,1627,-26.1454319664,29.5395926222
"16063",1419048,1122275940,1651,-26.1523426311,29.7261524368
"16064",1419049,1121602120,1608,-26.1527123595,28.3543584734
"16065",1419051,1121600690,1565,-26.1552670749,28.9457185096
"16066",1419052,1121601570,1610,-26.1575257086,29.1944395962
"16067",1419053,1122276040,1579,-26.1572673226,29.0353240304
"16068",1419054,1121600920,1553,-26.158464706,28.7637468723
"16069",1419056,1121600930,1560,-26.1583436074,28.6735052841
"16070",1419057,1121601270,1665,-26.1583448706,30.1698215235
"16071",1419060,1121602960,1735,-26.1613814384,30.2853427793
"16072",1419063,1121601260,1660,-26.1619610185,30.0236845494
"16073",1419064,1121602960,1729,-26.1594971801,30.2989159546
"16074",1419067,1121600690,1569,-26.1626843398,28.950353963
"16075",1419069,1121602630,1502,-26.1607234741,26.3779820893
"16076",1419070,1122276040,1590,-26.1631110378,29.0140132758
"16077",1419071,1121602040,1506,-26.1635802614,26.3343596538
"16078",1419073,1121602120,1670,-26.1672398514,28.2181778839
"16079",1419074,1121602960,1747,-26.1660337933,30.2436615031
"16080",1419075,1121600920,1594,-26.1679022284,28.8158797356
"16081",1419078,1121600930,1566,-26.1696664044,28.6595445345
"16082",1419080,1121601570,1552,-26.1741693091,29.2167538934
"16083",1419082,1121601130,1533,-26.1727359699,29.3663434653
"16084",1419083,1121602120,1637,-26.1711771283,28.2887684911
"16085",1419085,1121603390,1677,-26.1783990136,27.9065078993
"16086",1419087,1121600930,1580,-26.1798127873,28.6269158308
"16087",1419090,1121602120,1620,-26.1816380325,28.3245878255
"16088",1419091,1121601130,1539,-26.1807781585,29.3716697579
"16089",1419092,1122276750,1715,-26.1822282039,27.714850646
"16090",1419093,1121601570,1578,-26.185333421,29.2289388639
"16091",1419098,1121600930,1591,-26.1920467463,28.6168572231
"16092",1419099,1061608480,1629,-26.19269442,28.2939647871
"16093",1419100,1122276320,1676,-26.1937647477,29.7431477961
"16094",1419104,1121600930,1585,-26.1955059602,28.6449975894
"16095",1419105,1121601260,1672,-26.19768167,29.9942029434
"16096",1419106,1121602160,1533,-26.1956501279,27.4521559472
"16097",1419110,1122276910,1710,-26.1980335489,27.8390448047
"16098",1419112,1121602170,1543,-26.201856283,27.501918113
"16099",1419113,1122276910,1660,-26.2029300981,27.7935494701
"16100",1419114,1121602630,1519,-26.2037568574,26.356598106
"16101",1419116,1122276910,1691,-26.2029258492,27.8344907495
"16102",1419118,1122276510,1598,-26.2061341043,29.0316730587
"16103",1419123,1121602140,1551,-26.2098230857,28.9189177703
"16104",1419125,1121602120,1585,-26.2100056091,28.4055111079
"16105",1419126,1121600930,1582,-26.2144971564,28.7278380305
"16106",1419127,1122276910,1678,-26.207682357,27.8395013517
"16107",1419129,1122276750,1675,-26.2087820284,27.7664187819
"16108",1419130,1121602120,1577,-26.2103141882,28.4587401216
"16109",1419131,1121602160,1533,-26.210524646,27.4662478877
"16110",1419132,1122276120,1637,-26.2150571066,29.8793841476
"16111",1419133,1121602120,1585,-26.2132589583,28.4244409563
"16112",1419136,1122276750,1617,-26.2127015033,27.741011618
"16113",1419140,1121602140,1567,-26.2149748733,28.9443217263
"16114",1419142,1121602160,1532,-26.2205422717,27.4348324455
"16115",1419143,1121602140,1537,-26.2191547416,28.8948625502
"16116",1419144,1121601570,1598,-26.2190261344,29.1647555553
"16117",1419146,1121600920,1570,-26.21953947,28.7673621986
"16118",1419147,1121603290,1621,-26.2214285052,28.2220668213
"16119",1419148,1121602260,1631,-26.220336322,29.6792544695
"16120",1419149,1121602120,1602,-26.2239539879,28.3698413916
"16121",1419150,1121603290,1612,-26.2209794624,28.2466306474
"16122",1419151,1121603040,1585,-26.2213889659,28.4906172571
"16123",1419153,1121603390,1733,-26.2239913637,27.9542392144
"16124",1419155,1121603390,1727,-26.2262209812,27.9716418459
"16125",1419156,1121601130,1652,-26.2263110214,29.4198067737
