lakeID	dateTime	localTZ	daylightSavings	wtr0.5	wtr4.5
Loch	2016-07-24 04:09:00	Mountain	yes	13.348	10.348
Loch	2016-07-24 04:39:00	Mountain	yes	13.375	10.375
Loch	2016-07-24 05:09:00	Mountain	yes	13.331	10.321
Loch	2016-07-24 05:39:00	Mountain	yes	13.19	10.302
Loch	2016-07-24 06:09:00	Mountain	yes	13.013	10.302
Loch	2016-07-24 06:39:00	Mountain	yes	12.881	10.394
Loch	2016-07-24 07:09:00	Mountain	yes	12.907	10.302
Loch	2016-07-24 07:39:00	Mountain	yes	12.792	10.22
Loch	2016-07-24 08:09:00	Mountain	yes	12.783	10.174
Loch	2016-07-24 08:39:00	Mountain	yes	12.845	10.156
Loch	2016-07-24 09:09:00	Mountain	yes	12.792	10.165
Loch	2016-07-24 09:39:00	Mountain	yes	12.783	10.101
Loch	2016-07-24 10:09:00	Mountain	yes	12.65	10.138
Loch	2016-07-24 10:39:00	Mountain	yes	12.579	10.165
Loch	2016-07-24 11:09:00	Mountain	yes	12.748	10.266
Loch	2016-07-24 11:39:00	Mountain	yes	12.748	10.275
Loch	2016-07-24 12:09:00	Mountain	yes	13.049	10.321
Loch	2016-07-24 12:39:00	Mountain	yes	13.022	10.348
Loch	2016-07-24 13:09:00	Mountain	yes	13.172	10.403
Loch	2016-07-24 13:39:00	Mountain	yes	13.348	10.475
Loch	2016-07-24 14:09:00	Mountain	yes	13.339	10.485
Loch	2016-07-24 14:39:00	Mountain	yes	13.392	10.548
Loch	2016-07-24 15:09:00	Mountain	yes	13.269	10.566
Loch	2016-07-24 15:39:00	Mountain	yes	13.375	10.53
Loch	2016-07-24 16:09:00	Mountain	yes	13.682	10.548
Loch	2016-07-24 16:39:00	Mountain	yes	13.918	10.639
Loch	2016-07-24 17:09:00	Mountain	yes	13.542	10.603
Loch	2016-07-24 17:39:00	Mountain	yes	13.454	10.612
Loch	2016-07-24 18:09:00	Mountain	yes	13.489	10.63
Loch	2016-07-24 18:39:00	Mountain	yes	13.392	10.666
Loch	2016-07-24 19:09:00	Mountain	yes	13.383	10.648
Loch	2016-07-24 19:39:00	Mountain	yes	13.357	10.666
Loch	2016-07-24 20:09:00	Mountain	yes	13.216	10.703
Loch	2016-07-24 20:39:00	Mountain	yes	13.225	10.675
Loch	2016-07-24 21:09:00	Mountain	yes	13.181	10.675
Loch	2016-07-24 21:39:00	Mountain	yes	13.093	10.775
Loch	2016-07-24 22:09:00	Mountain	yes	13.04	10.757
Loch	2016-07-24 22:39:00	Mountain	yes	12.96	10.73
Loch	2016-07-24 23:09:00	Mountain	yes	12.907	10.539
Loch	2016-07-24 23:39:00	Mountain	yes	12.881	10.512
Loch	2016-07-25 00:09:00	Mountain	yes	12.819	10.466
Loch	2016-07-25 00:39:00	Mountain	yes	12.765	10.421
Loch	2016-07-25 01:09:00	Mountain	yes	12.677	10.403
Loch	2016-07-25 01:39:00	Mountain	yes	12.615	10.184
Loch	2016-07-25 02:09:00	Mountain	yes	12.517	9.973
Loch	2016-07-25 02:39:00	Mountain	yes	12.401	9.799
Loch	2016-07-25 03:09:00	Mountain	yes	12.348	9.744
Loch	2016-07-25 03:39:00	Mountain	yes	12.294	9.744
Loch	2016-07-25 04:09:00	Mountain	yes	12.268	9.744
Loch	2016-07-25 04:39:00	Mountain	yes	12.205	9.734
Loch	2016-07-25 05:09:00	Mountain	yes	12.107	9.78
Loch	2016-07-25 05:39:00	Mountain	yes	12	9.762
Loch	2016-07-25 06:09:00	Mountain	yes	11.883	9.679
Loch	2016-07-25 06:39:00	Mountain	yes	11.82	9.559
Loch	2016-07-25 07:09:00	Mountain	yes	11.784	9.578
Loch	2016-07-25 07:39:00	Mountain	yes	11.74	9.55
Loch	2016-07-25 08:09:00	Mountain	yes	11.749	9.485
Loch	2016-07-25 08:39:00	Mountain	yes	11.946	9.458
Loch	2016-07-25 09:09:00	Mountain	yes	12.035	9.541
Loch	2016-07-25 09:39:00	Mountain	yes	12.178	9.375
Loch	2016-07-25 10:09:00	Mountain	yes	12.241	9.476
Loch	2016-07-25 10:39:00	Mountain	yes	12.339	9.559
Loch	2016-07-25 11:09:00	Mountain	yes	12.588	9.578
Loch	2016-07-25 11:39:00	Mountain	yes	12.925	9.587
Loch	2016-07-25 12:09:00	Mountain	yes	13.154	9.707
Loch	2016-07-25 12:39:00	Mountain	yes	13.383	9.762
Loch	2016-07-25 13:09:00	Mountain	yes	13.436	9.835
Loch	2016-07-25 13:39:00	Mountain	yes	13.883	9.817
Loch	2016-07-25 14:09:00	Mountain	yes	13.752	9.881
Loch	2016-07-25 14:39:00	Mountain	yes	13.901	9.964
Loch	2016-07-25 15:09:00	Mountain	yes	13.857	9.991
Loch	2016-07-25 15:39:00	Mountain	yes	13.866	10.028
Loch	2016-07-25 16:09:00	Mountain	yes	13.743	10.101
Loch	2016-07-25 16:39:00	Mountain	yes	14.015	10.12
Loch	2016-07-25 17:09:00	Mountain	yes	13.848	10.129
Loch	2016-07-25 17:39:00	Mountain	yes	14.32	10.12
Loch	2016-07-25 18:09:00	Mountain	yes	14.215	10.101
Loch	2016-07-25 18:39:00	Mountain	yes	14.093	10.147
Loch	2016-07-25 19:09:00	Mountain	yes	14.198	10.147
Loch	2016-07-25 19:39:00	Mountain	yes	14.006	10.156
Loch	2016-07-25 20:09:00	Mountain	yes	13.945	10.165
Loch	2016-07-25 20:39:00	Mountain	yes	13.883	10.174
Loch	2016-07-25 21:09:00	Mountain	yes	13.735	10.184
Loch	2016-07-25 21:39:00	Mountain	yes	13.7	10.211
Loch	2016-07-25 22:09:00	Mountain	yes	13.647	10.184
Loch	2016-07-25 22:39:00	Mountain	yes	13.629	10.193
Loch	2016-07-25 23:09:00	Mountain	yes	13.603	10.184
Loch	2016-07-25 23:39:00	Mountain	yes	13.515	10.174
Loch	2016-07-26 00:09:00	Mountain	yes	13.454	10.174
Loch	2016-07-26 00:39:00	Mountain	yes	13.383	10.193
Loch	2016-07-26 01:09:00	Mountain	yes	13.322	10.202
Loch	2016-07-26 01:39:00	Mountain	yes	13.295	10.184
Loch	2016-07-26 02:09:00	Mountain	yes	13.234	10.193
Loch	2016-07-26 02:39:00	Mountain	yes	13.093	10.229
Loch	2016-07-26 03:09:00	Mountain	yes	13.013	10.229
Loch	2016-07-26 03:39:00	Mountain	yes	12.889	10.211
Loch	2016-07-26 04:09:00	Mountain	yes	12.819	10.202
Loch	2016-07-26 04:39:00	Mountain	yes	12.739	10.193
Loch	2016-07-26 05:09:00	Mountain	yes	12.686	10.193
Loch	2016-07-26 05:39:00	Mountain	yes	12.624	10.174
Loch	2016-07-26 06:09:00	Mountain	yes	12.535	10.174
Loch	2016-07-26 06:39:00	Mountain	yes	12.49	10.202
Loch	2016-07-26 07:09:00	Mountain	yes	12.446	10.202
Loch	2016-07-26 07:39:00	Mountain	yes	12.392	10.193
Loch	2016-07-26 08:09:00	Mountain	yes	12.33	10.202
Loch	2016-07-26 08:39:00	Mountain	yes	12.285	10.238
Loch	2016-07-26 09:09:00	Mountain	yes	12.223	10.238
Loch	2016-07-26 09:39:00	Mountain	yes	12.178	10.275
Loch	2016-07-26 10:09:00	Mountain	yes	12.134	10.311
Loch	2016-07-26 10:39:00	Mountain	yes	12.098	10.257
Loch	2016-07-26 11:09:00	Mountain	yes	11.982	10.33
Loch	2016-07-26 11:39:00	Mountain	yes	12.026	10.357
Loch	2016-07-26 12:09:00	Mountain	yes	12.169	10.412
Loch	2016-07-26 12:39:00	Mountain	yes	12.294	10.394
Loch	2016-07-26 13:09:00	Mountain	yes	12.437	10.666
Loch	2016-07-26 13:39:00	Mountain	yes	12.721	10.521
Loch	2016-07-26 14:09:00	Mountain	yes	12.535	10.721
Loch	2016-07-26 14:39:00	Mountain	yes	12.765	10.857
Loch	2016-07-26 15:09:00	Mountain	yes	12.748	10.766
Loch	2016-07-26 15:39:00	Mountain	yes	12.712	10.73
Loch	2016-07-26 16:09:00	Mountain	yes	12.739	10.775
Loch	2016-07-26 16:39:00	Mountain	yes	12.73	10.857
Loch	2016-07-26 17:09:00	Mountain	yes	12.632	10.938
Loch	2016-07-26 17:39:00	Mountain	yes	12.535	10.875
Loch	2016-07-26 18:09:00	Mountain	yes	12.481	11.182
Loch	2016-07-26 18:39:00	Mountain	yes	12.526	11.64
Loch	2016-07-26 19:09:00	Mountain	yes	12.499	11.988
Loch	2016-07-26 19:39:00	Mountain	yes	12.49	11.747
Loch	2016-07-26 20:09:00	Mountain	yes	12.446	11.738
Loch	2016-07-26 20:39:00	Mountain	yes	12.312	11.703
Loch	2016-07-26 21:09:00	Mountain	yes	12.214	11.694
Loch	2016-07-26 21:39:00	Mountain	yes	12.169	11.613
Loch	2016-07-26 22:09:00	Mountain	yes	12.089	11.577
Loch	2016-07-26 22:39:00	Mountain	yes	12.053	11.532
Loch	2016-07-26 23:09:00	Mountain	yes	12	11.505
Loch	2016-07-26 23:39:00	Mountain	yes	11.964	11.443
Loch	2016-07-27 00:09:00	Mountain	yes	11.955	11.38
Loch	2016-07-27 00:39:00	Mountain	yes	11.901	11.371
Loch	2016-07-27 01:09:00	Mountain	yes	11.865	11.245
Loch	2016-07-27 01:39:00	Mountain	yes	11.775	11.182
Loch	2016-07-27 02:09:00	Mountain	yes	11.704	10.884
Loch	2016-07-27 02:39:00	Mountain	yes	11.596	10.784
Loch	2016-07-27 03:09:00	Mountain	yes	11.56	10.675
Loch	2016-07-27 03:39:00	Mountain	yes	11.524	10.585
Loch	2016-07-27 04:09:00	Mountain	yes	11.415	10.748
Loch	2016-07-27 04:39:00	Mountain	yes	11.343	10.775
Loch	2016-07-27 05:09:00	Mountain	yes	11.298	10.721
Loch	2016-07-27 05:39:00	Mountain	yes	11.244	10.694
Loch	2016-07-27 06:09:00	Mountain	yes	11.171	10.575
Loch	2016-07-27 06:39:00	Mountain	yes	11.099	10.439
Loch	2016-07-27 07:09:00	Mountain	yes	10.899	10.348
Loch	2016-07-27 07:39:00	Mountain	yes	10.972	10.394
Loch	2016-07-27 08:09:00	Mountain	yes	10.962	10.238
Loch	2016-07-27 08:39:00	Mountain	yes	10.881	10.037
Loch	2016-07-27 09:09:00	Mountain	yes	10.89	10.238
Loch	2016-07-27 09:39:00	Mountain	yes	11.062	10.321
Loch	2016-07-27 10:09:00	Mountain	yes	11.253	10.403
Loch	2016-07-27 10:39:00	Mountain	yes	11.307	10.475
Loch	2016-07-27 11:09:00	Mountain	yes	11.469	10.53
Loch	2016-07-27 11:39:00	Mountain	yes	11.641	10.639
Loch	2016-07-27 12:09:00	Mountain	yes	11.829	10.694
Loch	2016-07-27 12:39:00	Mountain	yes	12.107	10.829
Loch	2016-07-27 13:09:00	Mountain	yes	12.375	10.92
Loch	2016-07-27 13:39:00	Mountain	yes	12.472	10.866
Loch	2016-07-27 14:09:00	Mountain	yes	12.65	10.911
Loch	2016-07-27 14:39:00	Mountain	yes	12.836	10.965
Loch	2016-07-27 15:09:00	Mountain	yes	13.049	11.028
Loch	2016-07-27 15:39:00	Mountain	yes	13.251	11.046
