lakeID	timestamp	localTZ	daylightSavings	PAR
Loch	2016-07-21 15:00:00	Mountain	yes	87.67
Loch	2016-07-21 16:00:00	Mountain	yes	39.83
Loch	2016-07-21 17:00:00	Mountain	yes	31.57
Loch	2016-07-21 18:00:00	Mountain	yes	42.48
Loch	2016-07-21 19:00:00	Mountain	yes	43.49
Loch	2016-07-21 20:00:00	Mountain	yes	4.63
Loch	2016-07-21 21:00:00	Mountain	yes	0
Loch	2016-07-21 22:00:00	Mountain	yes	0
Loch	2016-07-21 23:00:00	Mountain	yes	0
Loch	2016-07-22 00:00:00	Mountain	yes	-0.04
Loch	2016-07-22 01:00:00	Mountain	yes	0
Loch	2016-07-22 02:00:00	Mountain	yes	0
Loch	2016-07-22 03:00:00	Mountain	yes	-0.01
Loch	2016-07-22 04:00:00	Mountain	yes	0
Loch	2016-07-22 05:00:00	Mountain	yes	1.76
Loch	2016-07-22 06:00:00	Mountain	yes	98.05
Loch	2016-07-22 07:00:00	Mountain	yes	332.3
Loch	2016-07-22 08:00:00	Mountain	yes	615.88
Loch	2016-07-22 09:00:00	Mountain	yes	711.77
Loch	2016-07-22 10:00:00	Mountain	yes	903.42
Loch	2016-07-22 11:00:00	Mountain	yes	978
Loch	2016-07-22 12:00:00	Mountain	yes	1018.5
Loch	2016-07-22 13:00:00	Mountain	yes	935.83
Loch	2016-07-22 14:00:00	Mountain	yes	943.33
Loch	2016-07-22 15:00:00	Mountain	yes	717.63
Loch	2016-07-22 16:00:00	Mountain	yes	260.72
Loch	2016-07-22 17:00:00	Mountain	yes	158.62
Loch	2016-07-22 18:00:00	Mountain	yes	42.26
Loch	2016-07-22 19:00:00	Mountain	yes	31.22
Loch	2016-07-22 20:00:00	Mountain	yes	3.56
Loch	2016-07-22 21:00:00	Mountain	yes	0
Loch	2016-07-22 22:00:00	Mountain	yes	0
Loch	2016-07-22 23:00:00	Mountain	yes	0
Loch	2016-07-23 00:00:00	Mountain	yes	0
Loch	2016-07-23 01:00:00	Mountain	yes	0
Loch	2016-07-23 02:00:00	Mountain	yes	0
Loch	2016-07-23 03:00:00	Mountain	yes	0
Loch	2016-07-23 04:00:00	Mountain	yes	0
Loch	2016-07-23 05:00:00	Mountain	yes	2.25
Loch	2016-07-23 06:00:00	Mountain	yes	115.32
Loch	2016-07-23 07:00:00	Mountain	yes	360.27
Loch	2016-07-23 08:00:00	Mountain	yes	538.3
Loch	2016-07-23 09:00:00	Mountain	yes	727.6
Loch	2016-07-23 10:00:00	Mountain	yes	877.67
Loch	2016-07-23 11:00:00	Mountain	yes	979.5
Loch	2016-07-23 12:00:00	Mountain	yes	966.25
Loch	2016-07-23 13:00:00	Mountain	yes	910.17
Loch	2016-07-23 14:00:00	Mountain	yes	644.57
Loch	2016-07-23 15:00:00	Mountain	yes	490.55
Loch	2016-07-23 16:00:00	Mountain	yes	184.92
Loch	2016-07-23 17:00:00	Mountain	yes	31.96
Loch	2016-07-23 18:00:00	Mountain	yes	87.66
Loch	2016-07-23 19:00:00	Mountain	yes	33.99
Loch	2016-07-23 20:00:00	Mountain	yes	5.28
Loch	2016-07-23 21:00:00	Mountain	yes	-0.14
Loch	2016-07-23 22:00:00	Mountain	yes	-0.7
Loch	2016-07-23 23:00:00	Mountain	yes	-0.17
Loch	2016-07-24 00:00:00	Mountain	yes	-0.14
Loch	2016-07-24 01:00:00	Mountain	yes	-0.07
Loch	2016-07-24 02:00:00	Mountain	yes	0
Loch	2016-07-24 03:00:00	Mountain	yes	-0.15
Loch	2016-07-24 04:00:00	Mountain	yes	-0.4
Loch	2016-07-24 05:00:00	Mountain	yes	0.85
Loch	2016-07-24 06:00:00	Mountain	yes	39.43
Loch	2016-07-24 07:00:00	Mountain	yes	286.35
Loch	2016-07-24 08:00:00	Mountain	yes	178.85
Loch	2016-07-24 09:00:00	Mountain	yes	427.2
Loch	2016-07-24 10:00:00	Mountain	yes	878.83
Loch	2016-07-24 11:00:00	Mountain	yes	906.1
Loch	2016-07-24 12:00:00	Mountain	yes	548.05
